province_id,legacy_id,numeric_id,name,region_id,macroregion_id,area_km2,profile_id,target_cell_area_km2,expected_cell_count_base,override_minimum_cell_count,override_forced_cell_count,override_reason,final_cell_count_base,status
province:1802,uruguay__soriano,1802,Soriano,,,9046.373,,,,,,,,UNASSIGNED_REGION
province:3477,paraguay__caazap,3477,Caazapá,,,9042.751,,,,,,,,UNASSIGNED_REGION
province:3641,algeria__m_d_a,3641,Médéa,,,9042.375,,,,,,,,UNASSIGNED_REGION
province:845,nepal__bagmati,845,Bagmati,,,9038.681,,,,,,,,UNASSIGNED_REGION
province:3525,guinea__kissidougou,3525,Kissidougou,,,9023.26,,,,,,,,UNASSIGNED_REGION
province:1727,nepal__lumbini,1727,Lumbini,,,9020.661,,,,,,,,UNASSIGNED_REGION
province:2679,finland__uusimaa_2,2679,Uusimaa,,,9000.514,,,,,,,,UNASSIGNED_REGION
province:3713,turkey__karaman,3713,Karaman,,,8971.089,,,,,,,,UNASSIGNED_REGION
province:3734,turkey__bitlis,3734,Bitlis,,,8955.928,,,,,,,,UNASSIGNED_REGION
province:1449,yemen__hajjah,1449,Hajjah,,,8947.862,,,,,,,,UNASSIGNED_REGION
province:1032,guinea__macenta,1032,Macenta,,,8930.959,,,,,,,,UNASSIGNED_REGION
province:2125,morocco__gharb_chrarda_b_ni_hssen,2125,Gharb - Chrarda - Béni Hssen,,,8930.35,,,,,,,,UNASSIGNED_REGION
province:1726,nepal__narayani,1726,Narayani,,,8916.422,,,,,,,,UNASSIGNED_REGION
province:1502,uganda__kalangala,1502,Kalangala,,,8872.159,,,,,,,,UNASSIGNED_REGION
province:299,romania__timis,299,Timis,,,8842.018,,,,,,,,UNASSIGNED_REGION
province:746,romania__suceava,746,Suceava,,,8834.647,,,,,,,,UNASSIGNED_REGION
province:1401,afghanistan__nuristan,1401,Nuristan,,,8826.158,,,,,,,,UNASSIGNED_REGION
